from,to,edge
7B2,Hs3st-A,1
7B2,Hsc70-3,1
7B2,IA-2,1
7B2,Ih,1
7B2,inaE,1
7B2,IscU,1
7B2,Jafrac1,1
7B2,jdp,1
7B2,jeb,1
7B2,l(1)G0320,1
7B2,LTV1,1
7B2,Manf,1
7B2,mei-P26,1
7B2,miple1,1
7B2,Mnn1,1
7B2,mspo,1
7B2,Nacalpha,1
7B2,nAChRalpha5,1
7B2,nAChRalpha6,1
7B2,nAChRbeta1,1
7B2,NaCP60E,1
7B2,Nca,1
7B2,Nckx30C,1
7B2,ND-23,1
7B2,NFAT,1
7B2,Nlg3,1
7B2,Nlp,1
7B2,lncRNA:noe,1
7B2,nrv3,1
7B2,NUCB1,1
7B2,Pal2,1
7B2,para,1
7B2,Pcd,1
7B2,Pdcd4,1
7B2,Pdi,1
7B2,Pdp1,1
7B2,Pep,1
7B2,Pka-R1,1
7B2,ps,1
7B2,pum,1
7B2,Pur-alpha,1
7B2,qvr,1
7B2,Rab26,1
7B2,Rab3,1
7B2,Rbp1-like,1
7B2,Rbp6,1
7B2,Rbp9,1
7B2,RhoGAP71E,1
7B2,RhoGAPp190,1
7B2,Ric,1
7B2,Rim,1
7B2,Rlip,1
7B2,Rm62,1
7B2,RpL10Ab,1
7B2,RpL24-like,1
7B2,RpL30,1
7B2,RpL4,1
7B2,RpL7A,1
7B2,RpLP0,1
7B2,RpLP2,1
7B2,RpS10b,1
7B2,RpS11,1
7B2,RpS12,1
7B2,RpS13,1
7B2,RpS15,1
7B2,RpS17,1
7B2,RpS20,1
7B2,RpS8,1
7B2,Scgbeta,1
7B2,Sdc,1
7B2,Septin2,1
7B2,SF2,1
7B2,Sh,1
7B2,shakB,1
7B2,shi,1
7B2,sif,1
7B2,smog,1
7B2,Smox,1
7B2,Snap25,1
7B2,Spase22-23,1
7B2,Spn,1
7B2,Spred,1
7B2,ssx,1
7B2,Su(var)205,1
7B2,svr,1
7B2,Syngr,1
7B2,Syt1,1
7B2,Syt7,1
7B2,Syx1A,1
7B2,Tapdelta,1
7B2,Teh1,1
7B2,Teh2,1
7B2,Ten-a,1
7B2,Tsp42Ee,1
7B2,Tsp97E,1
7B2,tutl,1
7B2,twr,1
7B2,VhaAC45,1
7B2,ATP6AP2,1
7B2,VhaM9.7-a,1
7B2,Ythdc1,1
cass,Acn,1
cass,Ank2,1
cass,Appl,1
cass,Atg8a,1
cass,brat,1
cass,CG10077,1
cass,CG11360,1
cass,Ypel,1
cass,CG31808,1
cass,CG32809,1
cass,CG3662,1
cass,CG3793,1
cass,OtopLa,1
cass,CG42724,1
cass,CG6329,1
cass,Prps,1
cass,CG7781,1
cass,CG9813,1
cass,CNBP,1
cass,cpx,1
cass,Cyp1,1
cass,Cyt-c-p,1
cass,eEF1alpha1,1
cass,eEF1alpha2,1
cass,elav,1
cass,Eno,1
cass,Fas1,1
cass,Fis1,1
cass,fne,1
cass,FoxP,1
cass,Gapdh1,1
cass,Glut4EF,1
cass,His4r,1
cass,Hrb27C,1
cass,nAChRalpha5,1
cass,nrv3,1
cass,Pgk,1
cass,PyK,1
cass,qvr,1
cass,Rbp1,1
cass,Rbp1-like,1
cass,Rbp9,1
cass,Rm62,1
cass,RpL12,1
cass,RpL18,1
cass,RpL18A,1
cass,RpL22,1
cass,RpL23A,1
cass,RpL26,1
cass,RpL27,1
cass,RpL31,1
cass,RpL32,1
cass,RpL4,1
cass,RpL7A,1
cass,RpL8,1
cass,RpL9,1
cass,RpLP0,1
cass,RpS10b,1
cass,RpS11,1
cass,RpS12,1
cass,RpS14a,1
cass,RpS14b,1
cass,RpS15,1
cass,RpS16,1
cass,RpS17,1
cass,RpS19a,1
cass,RpS20,1
cass,RpS24,1
cass,RpS29,1
cass,RpS3,1
cass,RpS30,1
cass,RpS5a,1
cass,RpS6,1
cass,RpS8,1
cass,RpS9,1
cass,Sap47,1
cass,Sh,1
cass,shi,1
cass,slo,1
cass,Snap25,1
cass,sqd,1
cass,sta,1
cass,su(w[a]),1
cass,Syp,1
cass,Syx1A,1
cass,Tctp,1
cass,TM4SF,1
cass,Tpi,1
cass,Uhg5,1
cass,unc-13,1
cass,Vha13,1
cass,Vha14-1,1
cass,Vha16-1,1
cass,Vha44,1
cass,Vha68-1,1
cass,Ythdc1,1
Ac3,Alk,1
Ac3,CanB,1
Ac3,CG12004,1
Ac3,CG12531,1
Ac3,CG1265,1
Ac3,CG1695,1
Ac3,CG2269,1
Ac3,CG30172,1
Ac3,CG31140,1
Ac3,CG42361,1
Ac3,CG43324,1
Ac3,CG7407,1
Ac3,Lrp4,1
Ac3,chinmo,1
Ac3,Cow,1
Ac3,dpr21,1
Ac3,fax,1
Ac3,Galphao,1
Ac3,Gbeta5,1
Ac3,GluClalpha,1
Ac3,Gycalpha99B,1
Ac3,Hasp,1
Ac3,igl,1
Ac3,jef,1
Ac3,jim,1
Ac3,Mlf,1
Ac3,mRpS28,1
Ac3,Nlg2,1
Ac3,Rab3,1
Ac3,Tsp97E,1
Ac3,unc-104,1
Ac3,Vha68-1,1
AcCoAS,ATPCL,1
AcCoAS,CG12194,1
AcCoAS,CG14762,1
AcCoAS,CG31221,1
AcCoAS,CG32485,1
AcCoAS,Ae2,1
AcCoAS,jeb,1
AcCoAS,Kank,1
AcCoAS,Scsalpha1,1
AcCoAS,ScsbetaA,1
AcCoAS,Vha100-1,1
AcCoAS,Vha68-1,1
Ace,Atpalpha,1
Ace,Camta,1
Ace,Cbp53E,1
Ace,CG10804,1
Ace,CG11000,1
Ace,jus,1
Ace,CG14762,1
Ace,CG14989,1
Ace,CG16779,1
Ace,CG31140,1
Ace,CG31221,1
Ace,CG32017,1
Ace,CG43066,1
Ace,stol,1
Ace,cpo,1
Ace,cpx,1
Ace,lncRNA:CR31451,1
Ace,fend,1
Ace,futsch,1
Ace,Ggamma1,1
Ace,Ggamma30A,1
Ace,heph,1
Ace,Hs3st-A,1
Ace,Ih,1
Ace,jeb,1
Ace,Kank,1
Ace,Ktl,1
Ace,nAChRalpha7,1
Ace,Nckx30C,1
Ace,nSyb,1
Ace,para,1
Ace,ps,1
Ace,qvr,1
Ace,Rbp6,1
Ace,Rdl,1
Ace,slgA,1
Ace,Snap25,1
Ace,Syt1,1
Ace,VGlut,1
Acn,Ank2,1
Acn,CaMKII,1
Acn,CG10077,1
Acn,CG11360,1
Acn,aus,1
Acn,CG32809,1
Acn,CG3662,1
Acn,CG3793,1
Acn,CNBP,1
Acn,Cyp1,1
Acn,eEF1alpha2,1
Acn,elav,1
Acn,fne,1
Acn,Glut4EF,1
Acn,His4r,1
Acn,Hrb27C,1
Acn,Nacalpha,1
Acn,nAChRalpha5,1
Acn,nrv3,1
Acn,Rbp1-like,1
Acn,Rbp9,1
Acn,Rm62,1
Acn,RpL18,1
Acn,RpL18A,1
Acn,RpL23A,1
Acn,RpL26,1
Acn,RpL27,1
Acn,RpL31,1
Acn,RpL32,1
Acn,RpL4,1
Acn,RpL7,1
Acn,RpL7A,1
Acn,RpL8,1
Acn,RpL9,1
Acn,RpLP0,1
Acn,RpS10b,1
Acn,RpS11,1
Acn,RpS12,1
Acn,RpS15,1
Acn,RpS15Aa,1
Acn,RpS16,1
Acn,RpS19a,1
Acn,RpS21,1
Acn,RpS24,1
Acn,RpS29,1
Acn,RpS3,1
Acn,RpS4,1
Acn,RpS5a,1
Acn,RpS6,1
Acn,RpS8,1
Acn,Sap47,1
Acn,shi,1
Acn,slo,1
Acn,sqd,1
Acn,Syp,1
Acn,TM4SF,1
Acn,Vha13,1
Acn,Vha14-1,1
Acn,Vha16-1,1
Acn,Vha44,1
Acn,Vha68-1,1
mAcon1,Alas,1
mAcon1,AnxB10,1
mAcon1,Argk1,1
mAcon1,Atpalpha,1
mAcon1,ATPsynB,1
mAcon1,ATPsynC,1
mAcon1,ATPsynCF6,1
mAcon1,ATPsynD,1
mAcon1,ATPsyndelta,1
mAcon1,ATPsynE,1
mAcon1,ATPsynF,1
mAcon1,ATPsynG,1
mAcon1,ATPsyngamma,1
mAcon1,ATPsynO,1
mAcon1,awd,1
mAcon1,betaTub56D,1
mAcon1,blw,1
mAcon1,CG10075,1
mAcon1,nebu,1
mAcon1,CG11267,1
mAcon1,CG11722,1
mAcon1,CG11752,1
mAcon1,CG13220,1
