PPI,Positive_environment_number,SD,H2O2,Hydroxyurea,Doxorubicin,Forskolin,Raffinose,NaCl,Cold_16C,FK506
YCL037C_YKR080W,6,1,1,1,0,1,1,1,0,0
YGR155W_YMR300C,9,1,1,1,1,1,1,1,1,1
YBL029C-A_YCR021C,4,1,1,1,0,1,0,0,0,0
YGR038W_YDL052C,7,1,1,1,1,1,1,1,0,0
YJL196C_YKL212W,4,1,0,1,0,0,1,1,0,0
YDR342C_YML072C,6,1,1,1,0,1,0,1,0,1
YLR237W_YGL203C,3,1,1,1,0,0,0,0,0,0
YEL017C-A_YOL137W,7,1,1,1,1,1,1,0,0,1
YGR061C_YKR080W,6,1,1,1,0,1,1,1,0,0
YHR003C_YML086C,7,1,1,1,1,1,1,0,0,1
YJR088C_YMR272C,5,1,1,1,0,0,0,1,1,0
YBL039W-A_YPL186C,8,1,1,1,1,1,1,1,0,1
YLR064W_YKL088W,8,1,1,1,1,1,1,1,0,1
YCL025C_YOR016C,8,1,1,1,1,1,1,1,0,1
YML016C_YGR284C,4,1,0,1,1,0,0,0,0,1
YDR233C_YMR149W,5,1,1,0,0,1,1,0,0,1
YER136W_YFL005W,9,1,1,1,1,1,1,1,1,1
YOR128C_YKR080W,6,1,1,1,0,1,1,0,0,1
YFR002W_YML031W,8,1,1,1,1,1,1,1,0,1
YPL058C_YJL151C,5,1,1,1,0,0,1,0,1,0
YLL034C_YHR063C,3,1,1,0,0,0,0,1,0,0
YHR081W_YHR089C,7,1,1,1,0,1,1,1,0,1
YER065C_YCR021C,4,1,1,0,1,1,0,0,0,0
YNL007C_YBR106W,2,1,0,0,0,0,1,0,0,0
YAR002C-A_YIL043C,7,1,1,1,1,1,1,0,0,1
YPL058C_YKL051W,9,1,1,1,1,1,1,1,1,1
YBR011C_YER090W,3,1,1,0,0,0,1,0,0,0
YCL025C_YOR002W,2,1,0,0,0,1,0,0,0,0
YOR298C-A_YNL255C,7,1,1,1,0,1,1,1,0,1
YOR204W_YNL255C,6,1,1,1,0,1,1,0,0,1
