module	gene	color	rgb
4	CG3907	#0072B2FF	0-114-178
4	CG3955	#0072B2FF	0-114-178
4	Atat	#0072B2FF	0-114-178
4	CG42322	#0072B2FF	0-114-178
4	CG42361	#0072B2FF	0-114-178
4	hbt	#0072B2FF	0-114-178
4	CG4502	#0072B2FF	0-114-178
4	CG45049	#0072B2FF	0-114-178
4	MICU3	#0072B2FF	0-114-178
4	CG4678	#0072B2FF	0-114-178
4	Agpat3	#0072B2FF	0-114-178
4	CG5021	#0072B2FF	0-114-178
4	CG5805	#0072B2FF	0-114-178
4	CG5902	#0072B2FF	0-114-178
4	CG5934	#0072B2FF	0-114-178
4	CG5938	#0072B2FF	0-114-178
4	Uck	#0072B2FF	0-114-178
4	CG6443	#0072B2FF	0-114-178
4	Hou	#0072B2FF	0-114-178
4	Prps	#0072B2FF	0-114-178
4	CG7220	#0072B2FF	0-114-178
4	CG7332	#0072B2FF	0-114-178
4	CG7407	#0072B2FF	0-114-178
4	CG7582	#0072B2FF	0-114-178
4	CG7739	#0072B2FF	0-114-178
4	CG7781	#0072B2FF	0-114-178
4	Nulp1	#0072B2FF	0-114-178
4	Ae2	#0072B2FF	0-114-178
4	mrva	#0072B2FF	0-114-178
4	sordd1	#0072B2FF	0-114-178
4	CG9328	#0072B2FF	0-114-178
4	CG9853	#0072B2FF	0-114-178
4	Chd64	#0072B2FF	0-114-178
4	Chmp1	#0072B2FF	0-114-178
4	CkIalpha	#0072B2FF	0-114-178
4	lncRNA:CR30055	#0072B2FF	0-114-178
4	lncRNA:CR43459	#0072B2FF	0-114-178
4	Csp	#0072B2FF	0-114-178
4	ctp	#0072B2FF	0-114-178
4	DCTN5-p25	#0072B2FF	0-114-178
4	Den1	#0072B2FF	0-114-178
4	Dlc90F	#0072B2FF	0-114-178
4	DnaJ-1	#0072B2FF	0-114-178
4	Drat	#0072B2FF	0-114-178
4	eff	#0072B2FF	0-114-178
4	eIF2Bbeta	#0072B2FF	0-114-178
4	MsrA	#0072B2FF	0-114-178
4	emc	#0072B2FF	0-114-178
4	EndoA	#0072B2FF	0-114-178
4	endos	#0072B2FF	0-114-178
4	Eno	#0072B2FF	0-114-178
4	sotv	#0072B2FF	0-114-178
4	Fas1	#0072B2FF	0-114-178
4	Fis1	#0072B2FF	0-114-178
4	Fkbp12	#0072B2FF	0-114-178
4	fs(1)h	#0072B2FF	0-114-178
4	futsch	#0072B2FF	0-114-178
4	fwe	#0072B2FF	0-114-178
4	gammaSnap1	#0072B2FF	0-114-178
4	Gapdh1	#0072B2FF	0-114-178
4	Gapdh2	#0072B2FF	0-114-178
4	Gbeta5	#0072B2FF	0-114-178
4	Ggamma1	#0072B2FF	0-114-178
4	ghi	#0072B2FF	0-114-178
4	Arl8	#0072B2FF	0-114-178
4	Glut4EF	#0072B2FF	0-114-178
4	GlyP	#0072B2FF	0-114-178
4	gzl	#0072B2FF	0-114-178
4	Grx1	#0072B2FF	0-114-178
4	Gycalpha99B	#0072B2FF	0-114-178
4	HDAC4	#0072B2FF	0-114-178
4	His3.3A	#0072B2FF	0-114-178
4	HmgZ	#0072B2FF	0-114-178
4	HPS1	#0072B2FF	0-114-178
4	Hr38	#0072B2FF	0-114-178
4	Hsp23	#0072B2FF	0-114-178
4	Hsp26	#0072B2FF	0-114-178
4	lncRNA:Hsromega	#0072B2FF	0-114-178
4	igl	#0072B2FF	0-114-178
4	Inos	#0072B2FF	0-114-178
4	jagn	#0072B2FF	0-114-178
4	jdp	#0072B2FF	0-114-178
4	jim	#0072B2FF	0-114-178
4	Kank	#0072B2FF	0-114-178
4	Kap-alpha3	#0072B2FF	0-114-178
4	kcc	#0072B2FF	0-114-178
4	KLHL18	#0072B2FF	0-114-178
4	l(1)G0196	#0072B2FF	0-114-178
4	Ttc7	#0072B2FF	0-114-178
4	l(2)SH0834	#0072B2FF	0-114-178
4	Lamp1	#0072B2FF	0-114-178
4	lap	#0072B2FF	0-114-178
4	lawc	#0072B2FF	0-114-178
4	lola	#0072B2FF	0-114-178
4	lolal	#0072B2FF	0-114-178
4	lwr	#0072B2FF	0-114-178
4	maf-S	#0072B2FF	0-114-178
4	Mapmodulin	#0072B2FF	0-114-178
4	mbf1	#0072B2FF	0-114-178
4	MESK2	#0072B2FF	0-114-178
4	Mlf	#0072B2FF	0-114-178
4	mlt	#0072B2FF	0-114-178
4	Mob2	#0072B2FF	0-114-178
4	lncRNA:CR34335	#0072B2FF	0-114-178
4	Ndfip	#0072B2FF	0-114-178
4	Nipped-B	#0072B2FF	0-114-178
4	nrv2	#0072B2FF	0-114-178
4	nSyb	#0072B2FF	0-114-178
4	Ntf-2	#0072B2FF	0-114-178
4	Nxt1	#0072B2FF	0-114-178
4	Obp44a	#0072B2FF	0-114-178
4	Oda	#0072B2FF	0-114-178
4	Oli	#0072B2FF	0-114-178
4	p	#0072B2FF	0-114-178
4	Pcf11	#0072B2FF	0-114-178
4	Pcmt	#0072B2FF	0-114-178
4	Pfdn1	#0072B2FF	0-114-178
4	Pfdn4	#0072B2FF	0-114-178
4	Pfdn6	#0072B2FF	0-114-178
