gene	module	color	rgb
CG32267	3	#F0E442FF	240-228-66
CG32278	3	#F0E442FF	240-228-66
CG32369	3	#F0E442FF	240-228-66
CG32425	3	#F0E442FF	240-228-66
CG32448	3	#F0E442FF	240-228-66
CG32767	3	#F0E442FF	240-228-66
CG33199	3	#F0E442FF	240-228-66
CG34117	3	#F0E442FF	240-228-66
CG34132	3	#F0E442FF	240-228-66
CG34150	3	#F0E442FF	240-228-66
CG34200	3	#F0E442FF	240-228-66
CG34228	3	#F0E442FF	240-228-66
CG34229	3	#F0E442FF	240-228-66
CG34250	3	#F0E442FF	240-228-66
CG3556	3	#F0E442FF	240-228-66
CG3719	3	#F0E442FF	240-228-66
CG41128	3	#F0E442FF	240-228-66
CG42376	3	#F0E442FF	240-228-66
CG42813	3	#F0E442FF	240-228-66
CG44242	3	#F0E442FF	240-228-66
CG4686	3	#F0E442FF	240-228-66
Chchd2	3	#F0E442FF	240-228-66
CG5028	3	#F0E442FF	240-228-66
Cox10	3	#F0E442FF	240-228-66
ClpP	3	#F0E442FF	240-228-66
CG5065	3	#F0E442FF	240-228-66
CG5214	3	#F0E442FF	240-228-66
CG5569	3	#F0E442FF	240-228-66
CG5676	3	#F0E442FF	240-228-66
Mic26-27	3	#F0E442FF	240-228-66
CG5946	3	#F0E442FF	240-228-66
CG6115	3	#F0E442FF	240-228-66
CG6180	3	#F0E442FF	240-228-66
CG6330	3	#F0E442FF	240-228-66
Afg3l2	3	#F0E442FF	240-228-66
CG6523	3	#F0E442FF	240-228-66
CG6878	3	#F0E442FF	240-228-66
CG7382	3	#F0E442FF	240-228-66
CG7394	3	#F0E442FF	240-228-66
CG7430	3	#F0E442FF	240-228-66
CG7506	3	#F0E442FF	240-228-66
CG7630	3	#F0E442FF	240-228-66
CG7920	3	#F0E442FF	240-228-66
CG7943	3	#F0E442FF	240-228-66
CG8004	3	#F0E442FF	240-228-66
CG8187	3	#F0E442FF	240-228-66
CG8206	3	#F0E442FF	240-228-66
CG8229	3	#F0E442FF	240-228-66
CG8245	3	#F0E442FF	240-228-66
CG8360	3	#F0E442FF	240-228-66
Naa80	3	#F0E442FF	240-228-66
CG8818	3	#F0E442FF	240-228-66
CG8993	3	#F0E442FF	240-228-66
CG9034	3	#F0E442FF	240-228-66
Cox17	3	#F0E442FF	240-228-66
CG9231	3	#F0E442FF	240-228-66
CG9399	3	#F0E442FF	240-228-66
CG9921	3	#F0E442FF	240-228-66
Chchd3	3	#F0E442FF	240-228-66
Cisd2	3	#F0E442FF	240-228-66
comt	3	#F0E442FF	240-228-66
Coq7	3	#F0E442FF	240-228-66
COX4	3	#F0E442FF	240-228-66
COX5A	3	#F0E442FF	240-228-66
COX5B	3	#F0E442FF	240-228-66
COX6B	3	#F0E442FF	240-228-66
COX7A	3	#F0E442FF	240-228-66
COX7C	3	#F0E442FF	240-228-66
COX8	3	#F0E442FF	240-228-66
hpRNA:CR18854	3	#F0E442FF	240-228-66
CR41597	3	#F0E442FF	240-228-66
lncRNA:CR42862	3	#F0E442FF	240-228-66
CRIF	3	#F0E442FF	240-228-66
cype	3	#F0E442FF	240-228-66
Cyt-c-p	3	#F0E442FF	240-228-66
Dap160	3	#F0E442FF	240-228-66
DCTN6-p27	3	#F0E442FF	240-228-66
Dic1	3	#F0E442FF	240-228-66
dj-1beta	3	#F0E442FF	240-228-66
DnaJ-H	3	#F0E442FF	240-228-66
Droj2	3	#F0E442FF	240-228-66
Drp1	3	#F0E442FF	240-228-66
eIF1A	3	#F0E442FF	240-228-66
eIF2alpha	3	#F0E442FF	240-228-66
eIF3g1	3	#F0E442FF	240-228-66
elm	3	#F0E442FF	240-228-66
EMRE	3	#F0E442FF	240-228-66
EndoB	3	#F0E442FF	240-228-66
epsilonCOP	3	#F0E442FF	240-228-66
e(r)	3	#F0E442FF	240-228-66
Fdx1	3	#F0E442FF	240-228-66
Fdx2	3	#F0E442FF	240-228-66
Fie	3	#F0E442FF	240-228-66
Fkbp59	3	#F0E442FF	240-228-66
Gabat	3	#F0E442FF	240-228-66
GABPI	3	#F0E442FF	240-228-66
galla-1	3	#F0E442FF	240-228-66
galla-2	3	#F0E442FF	240-228-66
Gpdh1	3	#F0E442FF	240-228-66
Gpo1	3	#F0E442FF	240-228-66
Gs1	3	#F0E442FF	240-228-66
Gs1l	3	#F0E442FF	240-228-66
Hex-A	3	#F0E442FF	240-228-66
hfp	3	#F0E442FF	240-228-66
Hsc70-5	3	#F0E442FF	240-228-66
Hsp60A	3	#F0E442FF	240-228-66
I-2	3	#F0E442FF	240-228-66
Idh3b	3	#F0E442FF	240-228-66
Ip259	3	#F0E442FF	240-228-66
IscU	3	#F0E442FF	240-228-66
Jwa	3	#F0E442FF	240-228-66
kdn	3	#F0E442FF	240-228-66
Idh3a	3	#F0E442FF	240-228-66
Fum1	3	#F0E442FF	240-228-66
Pdha	3	#F0E442FF	240-228-66
l(2)37Cc	3	#F0E442FF	240-228-66
l(2)k09913	3	#F0E442FF	240-228-66
l(2)k14505	3	#F0E442FF	240-228-66
l(3)87Df	3	#F0E442FF	240-228-66
l(3)neo43	3	#F0E442FF	240-228-66
La	3	#F0E442FF	240-228-66
levy	3	#F0E442FF	240-228-66
Lis-1	3	#F0E442FF	240-228-66
MagR	3	#F0E442FF	240-228-66
Marf	3	#F0E442FF	240-228-66
Mdh1	3	#F0E442FF	240-228-66
mEFTs	3	#F0E442FF	240-228-66
mEFTu1	3	#F0E442FF	240-228-66
Men-b	3	#F0E442FF	240-228-66
mge	3	#F0E442FF	240-228-66
Miro	3	#F0E442FF	240-228-66
Mitofilin	3	#F0E442FF	240-228-66
Mpcp2	3	#F0E442FF	240-228-66
mRpL1	3	#F0E442FF	240-228-66
mRpL10	3	#F0E442FF	240-228-66
mRpL12	3	#F0E442FF	240-228-66
mRpL13	3	#F0E442FF	240-228-66
mRpL14	3	#F0E442FF	240-228-66
mRpL16	3	#F0E442FF	240-228-66
mRpL17	3	#F0E442FF	240-228-66
mRpL18	3	#F0E442FF	240-228-66
mRpL19	3	#F0E442FF	240-228-66
mRpL2	3	#F0E442FF	240-228-66
mRpL21	3	#F0E442FF	240-228-66
mRpL22	3	#F0E442FF	240-228-66
mRpL23	3	#F0E442FF	240-228-66
mRpL24	3	#F0E442FF	240-228-66
mRpL27	3	#F0E442FF	240-228-66
mRpL28	3	#F0E442FF	240-228-66
mRpL30	3	#F0E442FF	240-228-66
mRpL33	3	#F0E442FF	240-228-66
mRpL34	3	#F0E442FF	240-228-66
mRpL35	3	#F0E442FF	240-228-66
mRpL36	3	#F0E442FF	240-228-66
mRpL4	3	#F0E442FF	240-228-66
mRpL41	3	#F0E442FF	240-228-66
mRpL42	3	#F0E442FF	240-228-66
mRpL43	3	#F0E442FF	240-228-66
mRpL47	3	#F0E442FF	240-228-66
mRpL48	3	#F0E442FF	240-228-66
mRpL49	3	#F0E442FF	240-228-66
mRpL50	3	#F0E442FF	240-228-66
mRpL52	3	#F0E442FF	240-228-66
mRpL54	3	#F0E442FF	240-228-66
mRpL55	3	#F0E442FF	240-228-66
mRpS10	3	#F0E442FF	240-228-66
mRpS11	3	#F0E442FF	240-228-66
mRpS14	3	#F0E442FF	240-228-66
mRpS16	3	#F0E442FF	240-228-66
mRpS17	3	#F0E442FF	240-228-66
mRpS18A	3	#F0E442FF	240-228-66
mRpS18C	3	#F0E442FF	240-228-66
mRpS21	3	#F0E442FF	240-228-66
mRpS24	3	#F0E442FF	240-228-66
mRpS25	3	#F0E442FF	240-228-66
mRpS26	3	#F0E442FF	240-228-66
mRpS28	3	#F0E442FF	240-228-66
mRpS31	3	#F0E442FF	240-228-66
mRpS33	3	#F0E442FF	240-228-66
mRpS5	3	#F0E442FF	240-228-66
mRpS6	3	#F0E442FF	240-228-66
mRpS7	3	#F0E442FF	240-228-66
mRpS9	3	#F0E442FF	240-228-66
MSBP	3	#F0E442FF	240-228-66
Mtch	3	#F0E442FF	240-228-66
muc	3	#F0E442FF	240-228-66
Ogdh	3	#F0E442FF	240-228-66
ND-13A	3	#F0E442FF	240-228-66
ND-13B	3	#F0E442FF	240-228-66
ND-15	3	#F0E442FF	240-228-66
ND-18	3	#F0E442FF	240-228-66
ND-19	3	#F0E442FF	240-228-66
ND-20	3	#F0E442FF	240-228-66
ND-23	3	#F0E442FF	240-228-66
ND-24	3	#F0E442FF	240-228-66
ND-30	3	#F0E442FF	240-228-66
ND-39	3	#F0E442FF	240-228-66
ND-42	3	#F0E442FF	240-228-66
ND-49	3	#F0E442FF	240-228-66
ND-51	3	#F0E442FF	240-228-66
ND-75	3	#F0E442FF	240-228-66
ND-ACP	3	#F0E442FF	240-228-66
ND-AGGG	3	#F0E442FF	240-228-66
ND-ASHI	3	#F0E442FF	240-228-66
ND-B12	3	#F0E442FF	240-228-66
ND-B14	3	#F0E442FF	240-228-66
ND-B14.5A	3	#F0E442FF	240-228-66
ND-B14.5B	3	#F0E442FF	240-228-66
ND-B14.7	3	#F0E442FF	240-228-66
ND-B15	3	#F0E442FF	240-228-66
ND-B16.6	3	#F0E442FF	240-228-66
ND-B17	3	#F0E442FF	240-228-66
ND-B17.2	3	#F0E442FF	240-228-66
ND-B18	3	#F0E442FF	240-228-66
ND-B22	3	#F0E442FF	240-228-66
ND-MLRQ	3	#F0E442FF	240-228-66
ND-MWFE	3	#F0E442FF	240-228-66
ND-PDSW	3	#F0E442FF	240-228-66
ND-SGDH	3	#F0E442FF	240-228-66
